,Weight,Feature
0,0.0,MCF.7_ChIP.seq_CTCF_ENCSR000AHD_ENCFF001UML_ENCFF001UMN_intersect.bed
1,0.0,MCF.7_ChIP.seq_TAF1_ENCSR000AHF_ENCFF001UNU_ENCFF001UNT_intersect.bed
2,0.0,GM12878_ChIP.seq_CTCF_ENCFF002CDP.bed
3,0.0,K562_ChIP.seq_CTCF_ENCFF002CEL.bed
4,0.0,K562_ChIP.seq_POLR2A_ENCFF002CET.bed
5,0.0,endothelial_cell_of_umbilical_vein_ChIP.seq_CTCF_ENCFF002CEH.bed
6,0.0,endothelial_cell_of_umbilical_vein_ChIP.seq_POLR2A_ENCFF002CEJ.bed
7,0.0,keratinocyte_ChIP.seq_CTCF_ENCFF002CFA.bed
8,0.0,keratinocyte_ChIP.seq_POLR2A_ENCFF002CFC.bed
9,0.0,H1.hESC_ChIP.seq_H3K27me3_ENCFF001SUY.bed
10,0.0,mammary_epithelial_cell_ChIP.seq_CTCF_ENCFF002CEB.bed
11,0.0,HepG2_ChIP.seq_CTCF_ENCFF002CDZ.bed
12,0.0,H1.hESC_ChIP.seq_CTCF_ENCFF002CDS.bed
13,0.0,H1.hESC_ChIP.seq_H3K4me3_ENCFF001SVC.bed
14,0.357482415233,H1.hESC_ChIP.seq_H4K20me1_ENCFF001SVF.bed
15,0.128482999369,H1.hESC_ChIP.seq_H3K4me1_ENCFF001SVA.bed
16,0.0,H1.hESC_ChIP.seq_H3K36me3_ENCFF001SUZ.bed
17,0.0,H1.hESC_ChIP.seq_H3K4me2_ENCFF001SVB.bed
18,-0.204707011585,H1.hESC_ChIP.seq_H3K9ac_ENCFF001SVE.bed
19,0.0,skeletal_muscle_myoblast_ChIP.seq_CTCF_ENCFF002CED.bed
20,0.0,fibroblast_of_lung_ChIP.seq_CTCF_ENCFF002CFD.bed
21,0.0,H1.hESC_ChIP.seq_H3K27ac_ENCFF001SUX.bed
22,0.0,myotube_ChIP.seq_CTCF_ENCFF002CEF.bed
23,0.0,HeLa.S3_ChIP.seq_CTCF_ENCFF002CDW.bed
24,0.0,HeLa.S3_ChIP.seq_POLR2A_ENCFF002CDY.bed
25,-0.194335936204,astrocyte_ChIP.seq_CTCF_ENCFF002CEW.bed
26,0.0,osteoblast_ChIP.seq_CTCF_ENCFF002CFF.bed
27,0.0,fibroblast_of_dermis_ChIP.seq_CTCF_ENCFF002CEY.bed
28,0.0,H1.hESC_ChIP.seq_H2AFZ_ENCFF001SUV.bed
29,0.0,H1.hESC_ChIP.seq_H3K79me2_ENCFF001SVD.bed
30,0.0,H1.hESC_ChIP.seq_H3K9me3_ENCFF001SUW.bed
31,0.0,K562_ChIP.seq_KDM5B_ENCFF002CES.bed
32,0.0,K562_ChIP.seq_EP300_ENCFF002CEQ.bed
33,0.0,H1.hESC_ChIP.seq_RBBP5_ENCFF002CDV.bed
