,Feature,Weight
0,MCF.7_ChIP.seq_CTCF_ENCSR000AHD_ENCFF001UML_ENCFF001UMN_intersect.bed,0.0
1,MCF.7_ChIP.seq_TAF1_ENCSR000AHF_ENCFF001UNU_ENCFF001UNT_intersect.bed,0.0
2,GM12878_ChIP.seq_CTCF_ENCFF002CDP.bed,0.0
3,K562_ChIP.seq_CTCF_ENCFF002CEL.bed,0.0
4,K562_ChIP.seq_POLR2A_ENCFF002CET.bed,0.0
5,endothelial_cell_of_umbilical_vein_ChIP.seq_CTCF_ENCFF002CEH.bed,0.0
6,endothelial_cell_of_umbilical_vein_ChIP.seq_POLR2A_ENCFF002CEJ.bed,0.0
7,keratinocyte_ChIP.seq_CTCF_ENCFF002CFA.bed,0.0
8,keratinocyte_ChIP.seq_POLR2A_ENCFF002CFC.bed,0.0
9,H1.hESC_ChIP.seq_H3K27me3_ENCFF001SUY.bed,0.0
10,mammary_epithelial_cell_ChIP.seq_CTCF_ENCFF002CEB.bed,0.0
11,HepG2_ChIP.seq_CTCF_ENCFF002CDZ.bed,0.0
12,H1.hESC_ChIP.seq_CTCF_ENCFF002CDS.bed,0.0
13,H1.hESC_ChIP.seq_H3K4me3_ENCFF001SVC.bed,0.0
14,H1.hESC_ChIP.seq_H4K20me1_ENCFF001SVF.bed,0.152820191923
15,H1.hESC_ChIP.seq_H3K4me1_ENCFF001SVA.bed,0.0
16,H1.hESC_ChIP.seq_H3K36me3_ENCFF001SUZ.bed,0.0
17,H1.hESC_ChIP.seq_H3K4me2_ENCFF001SVB.bed,0.0
18,H1.hESC_ChIP.seq_H3K9ac_ENCFF001SVE.bed,0.0
19,skeletal_muscle_myoblast_ChIP.seq_CTCF_ENCFF002CED.bed,0.0
20,fibroblast_of_lung_ChIP.seq_CTCF_ENCFF002CFD.bed,0.0
21,H1.hESC_ChIP.seq_H3K27ac_ENCFF001SUX.bed,0.0
22,myotube_ChIP.seq_CTCF_ENCFF002CEF.bed,0.0
23,HeLa.S3_ChIP.seq_CTCF_ENCFF002CDW.bed,0.0
24,HeLa.S3_ChIP.seq_POLR2A_ENCFF002CDY.bed,0.0
25,astrocyte_ChIP.seq_CTCF_ENCFF002CEW.bed,0.0
26,osteoblast_ChIP.seq_CTCF_ENCFF002CFF.bed,0.0
27,fibroblast_of_dermis_ChIP.seq_CTCF_ENCFF002CEY.bed,0.0
28,H1.hESC_ChIP.seq_H2AFZ_ENCFF001SUV.bed,0.0
29,H1.hESC_ChIP.seq_H3K79me2_ENCFF001SVD.bed,0.0
30,H1.hESC_ChIP.seq_H3K9me3_ENCFF001SUW.bed,0.0
31,K562_ChIP.seq_KDM5B_ENCFF002CES.bed,0.0
32,K562_ChIP.seq_EP300_ENCFF002CEQ.bed,0.0
