,Feature,Score
0,FOXA2,0.00259207709816
1,E074.H3K27ac.gappedPeak,0.00213110409528
2,E124.H4K20me1.gappedPeak,0.00208708616243
3,E073.H3K27me3.gappedPeak,0.00207753759381
4,alpha_wo_acinar_ATACseq_hg19.bed,0.0018957445553
5,MAFB,0.00179097340308
6,PFSK.1_ChIP.seq_FOXP2_ENCFF002CND.bed,0.0017782745692
7,GSE64233_p65_V_final.bed,0.00176266134591
8,E068.H3K4me1.gappedPeak,0.00174692621959
9,E092.H3K4me3.gappedPeak,0.00170277553644
10,NKX6.1,0.0016985294634
11,SGBS_adipocyte_LXR_chipseq_hg19.bed,0.00167820832102
12,E078.H3K36me3.gappedPeak,0.00167644168312
13,SK.N.SH_ChIP.seq_RXRA_ENCSR000BVG_ENCFF001UQB_ENCFF001UQC_intersect.bed,0.00165125208895
14,PDX1,0.00159632068672
15,GSM1240826_GP5dControl_SMC3_peaks_hg19.bed,0.00159359919314
16,Hsmm.Quies,0.00158578829639
17,E127.H3K4me1.gappedPeak,0.00158341806581
18,E041.H3K4me1.gappedPeak,0.00158189257059
19,E008.H3K14ac.gappedPeak,0.00158169372133
20,GM12878_transcription_profiling_by_array_assay_ENCFF001SNK.bed,0.00157674437208
21,HeLa.S3_ChIP.seq_MXI1_ENCFF002CST.bed,0.00157556676997
22,E114.H3K4me1.gappedPeak,0.00154925980867
23,SK.N.SH_ChIP.seq_EP300_ENCFF002CNP.bed,0.00152081832128
24,GM12878_ChIP.seq_SUPT20H_ENCFF001VFI.bed,0.00149690318209
25,PANC.ISLT.Quies,0.0014962018823
26,PANC.ISLT.EnhA,0.0014887793462
27,E013.H3K9me3.gappedPeak,0.00148261834023
28,E104.H3K27me3.gappedPeak,0.00145565383623
29,GSM1208700_batch1_chrom1_LoVo_ZBED4_PassedQC_peaks_hg19.bed,0.00145564430572
30,E110.H3K4me1.gappedPeak,0.00143890049314
31,E004.H3K4me1.gappedPeak,0.00141782452868
32,E072.H3K4me1.gappedPeak,0.00141011055513
33,A549_ChIP.seq_GATA3_ENCSR000BTI_ENCFF001TSM_ENCFF001TSL_intersect.bed,0.00140716596466
34,E019.H3K4me1.gappedPeak,0.00140425495812
35,E037.H3K27me3.gappedPeak,0.00139426317712
36,GSM1240813_GP5dControl_CTCF_peaks_hg19.bed,0.00138275159391
37,E068.H3K9ac.gappedPeak,0.00135447171865
38,FAT.ADIP.NUC.Quies,0.00134998646453
39,GSM1208706_batch1_chrom1_LoVo_ZNF706_PassedQC_peaks_hg19.bed,0.00134747841924
40,E003.H2A.Z.gappedPeak,0.00134545225956
41,B_cell_ChIP.seq_H2AFZ_ENCFF001STJ.bed,0.00134238239489
42,E058.H3K4me1.gappedPeak,0.00134018365828
43,GSM934615_SMAD3_TGFb_VitD_4093.ucsc_hg19.bed,0.00132898761176
44,E013.H3K4me1.gappedPeak,0.00132544215773
45,HeLa.S3_ChIP.seq_EZH2_ENCFF002CDX.bed,0.00132030334634
46,E057.H3K4me1.gappedPeak,0.00131657138379
47,E038.H3K36me3.gappedPeak,0.00131394860872
48,E009.H2A.Z.gappedPeak,0.00130819509933
49,GSM678396_SGBS_CEBPa_overlap_hg19.bed,0.00130716634878
50,GSE64233_DHS_V_final.bed,0.00130476265936
51,IMR.90_ChIP.seq_RFX5_ENCFF001VLV.bed,0.00130129048984
52,K562_ChIP.seq_BHLHE40_ENCFF002CVQ.bed,0.00129989948794
53,K562_ChIP.seq_STAT1_ENCFF002CYE.bed,0.00129754925947
54,E074.H3K4me1.gappedPeak,0.00129369581991
55,E089.H3K36me3.gappedPeak,0.00128212727884
56,PE_FOXA1_chipseq_hg19.bed,0.00127627594145
57,E017.H3K9me3.gappedPeak,0.00126813356969
58,E122.H3K27me3.gappedPeak,0.00126683859455
59,HepG2_ChIP.seq_SREBF1_ENCFF001VLA.bed,0.00126627974066
60,E017.H2BK12ac.gappedPeak,0.00126485070032
61,GSM1240840_GP5dsiRAD21_SMC3_peaks_hg19.bed,0.00126114593954
62,H1.hESC_ChIP.seq_H3K4me1_ENCFF001SVA.bed,0.00126063137818
63,PHH_GW_FXR_chipseq_final.bed,0.00125796661741
64,E120.H3K27me3.gappedPeak,0.00125653323147
65,E057.H3K27me3.gappedPeak,0.00125149923328
66,fibroblast_of_dermis_ChIP.seq_EZH2_ENCFF002CEZ.bed,0.00124331149946
67,BJ_ChIP.seq_H3K27me3_ENCSR000DQG_gappedpeak.bed,0.00123891268462
68,Hepg2.Quies,0.00123618290248
69,E055.H3K4me1.gappedPeak,0.00123379285131
70,E121.H3K27me3.gappedPeak,0.00123351779623
71,E008.H4K8ac.gappedPeak,0.00122737047081
72,Hsmm.Ins,0.00122671367375
73,E005.H3K27me3.gappedPeak,0.00122377031534
74,E007.H4K91ac.gappedPeak,0.00122024634473
75,A549_ChIP.seq_FOXA1_ENCFF002CFO.bed,0.00121692931691
76,K562_ChIP.seq_EGR1_ENCFF002CLV.bed,0.00121530407427
77,E125.H4K20me1.gappedPeak,0.0012128172758
78,E003.H3K18ac.gappedPeak,0.00120229831326
79,B_cell_ChIP.seq_EZH2_ENCFF001STL.bed,0.0011978222769
80,GSM1208703_batch1_chrom1_LoVo_ZNF236_PassedQC_peaks_hg19.bed,0.00119776983109
81,E075.H3K27me3.gappedPeak,0.00119473065548
82,Islets.stretchEnhancers.bed,0.00119436595309
83,FG_Active_Enhancers_hg19.bed,0.0011915254557
84,E067.H3K27ac.gappedPeak,0.0011865513686
85,E034.H3K9me3.gappedPeak,0.00118642196752
86,E021.H3K36me3.gappedPeak,0.00118300955754
87,H1.hESC_ChIP.seq_EZH2_ENCFF002CDT.bed,0.00118115375291
88,GSM1208676_batch1_chrom1_LoVo_SMAD3_PassedQC_peaks_hg19.bed,0.00117829176743
89,Ishikawa_ChIP.seq_USF1_ENCSR000BSX_ENCFF001TVW_ENCFF001TVV_intersect.bed,0.00117290018565
90,E005.H2BK12ac.gappedPeak,0.00117234359691
91,keratinocyte_transcription_profiling_by_array_assay_ENCFF001SOA.bed,0.00117151668093
92,hASCt1.TssA,0.00116980643164
93,E010.H3K4me1.gappedPeak,0.00116740044157
94,H1.hESC_ChIP.seq_KDM5B_ENCFF001SVM.bed,0.00116229341914
95,E030.H3K27me3.gappedPeak,0.00115706980917
96,T47D_ChIP.seq_ESR1_ENCFF002CNW.bed,0.00115250804167
97,GSM534485_hASCt3.CTCF.intervals_hg19.bed,0.00114928845925
98,E108.H3K9me3.gappedPeak,0.00114717219616
99,E093.H3K27ac.gappedPeak,0.00114365866307
100,K562_transcription_profiling_by_array_assay_ENCFF001SNR.bed,0.00113694230989
101,E088.H3K27me3.gappedPeak,0.00113513035588
102,MUS.SKLT.F.ZNFRpts,0.00113422325322
103,Ishikawa_ChIP.seq_ZBTB7A_ENCSR000BSZ_ENCFF001TVZ_ENCFF001TWA_intersect.bed,0.0011287902638
104,E005.H2AK5ac.gappedPeak,0.00112694956289
105,pancreas_juvenile_H3K27ac.bed,0.00112315871331
106,E056.H3K4me1.gappedPeak,0.00112012596437
107,E040.H3K9me3.gappedPeak,0.00111889978913
108,Hsmm.EnhWk,0.00111713410672
109,HeLa.S3_ChIP.seq_SUPT20H_ENCFF002CTF.bed,0.00111634897831
110,E007.H2BK12ac.gappedPeak,0.00111356653139
111,E059.H3K9me3.gappedPeak,0.00111246614027
112,PANC.ISLT.TssFlnkD,0.00111152529039
113,E102.H3K4me1.gappedPeak,0.00111147032548
114,E017.H3K4me2.gappedPeak,0.00111000637034
115,H1.hESC_ChIP.seq_H2AFZ_ENCFF001SUV.bed,0.00110879584792
116,GM19193_ChIP.seq_POLR2A_ENCFF002CQO.bed,0.00110608779723
117,GM12878_ChIP.seq_RXRA_ENCFF002CHT.bed,0.00110599344789
118,islet_pooled_H3K27ac.bed,0.00110426546842
119,MCF.7_ChIP.seq_GATA3_ENCFF002CZK.bed,0.00110074618774
120,GSM1208664_batch1_chrom1_LoVo_NR2F1_PassedQC_peaks_hg19.bed,0.00109338903709
121,E125.H3K4me2.gappedPeak,0.00109271373198
122,HepG2_ChIP.seq_RXRA_ENCFF002CKZ.bed,0.00109035032006
123,MCF_10A_ChIP.seq_STAT3_ENCFF002CZH.bed,0.00108430028188
124,E066.H3K4me3.gappedPeak,0.00108421045431
125,NKX2.2,0.00107983676129
126,E010.H3K27me3.gappedPeak,0.00107916692519
127,K562_ChIP.seq_CBX8_ENCFF001SYX.bed,0.00107868583343
128,E042.H3K9me3.gappedPeak,0.00107246705514
129,H1.hESC_ChIP.seq_ATF3_ENCFF002CIS.bed,0.00107229635605
130,islet_H3K27ac.bed,0.00107066520352
131,K562_ChIP.seq_RNF2_ENCFF001TAC.bed,0.0010691387307
132,wgEncodeAwgDnaseUwHcfaaUniPk.narrowPeak,0.00106835989951
133,HCT116_ChIP.seq_TEAD4_ENCSR000BVJ_ENCFF001UEP_ENCFF001UEO_intersect.bed,0.00106798813681
134,A549_ChIP.seq_NR3C1_ENCFF002CFS.bed,0.00106469443567
135,HepG2_ChIP.seq_EP300_ENCFF002CKV.bed,0.0010627418748
136,HepG2_ChIP.seq_CHD2_ENCFF002CTX.bed,0.00106022397031
137,E044.H3K27ac.gappedPeak,0.00105628255838
138,E018.H3K9me3.gappedPeak,0.00105462312618
139,GSM1240836_GP5dsiRAD21_NIPBL_peaks_hg19.bed,0.00105354242786
140,H1.hESC_ChIP.seq_BCL11A_ENCFF002CIT.bed,0.00105226942427
141,E123.H3K4me3.gappedPeak,0.0010501678405
