,Feature,Score
0,FOXA2,0.00252016663126
1,PDX1,0.00192524626742
2,NKX2.2,0.00174214346553
3,MAFB,0.00160187693901
4,islet_lncRNA_hg19.bed,0.00151148795438
5,SGBS_adipocyte_LXR_chipseq_hg19.bed,0.00134810508104
6,Hsmm.Quies,0.00123985666036
7,GSM1208665_batch1_chrom1_LoVo_NR2F2_PassedQC_peaks_hg19.bed,0.0011922809974
8,islet_H3K27ac.bed,0.00119217481853
9,PancIslt.Quies,0.00113846988774
10,E104.H3K27me3.gappedPeak,0.00109401969052
11,PANC.ISLT.EnhG,0.00108216091601
12,Hepatocyte_PPARA_ctrl_2hr.bed,0.00108000002802
13,alpha_wo_acinar_ATACseq_hg19.bed,0.00106712915037
14,PANC.ISLT.EnhA,0.00106133719345
15,myotube_ChIP.seq_EZH2_ENCFF002CEG.bed,0.0010563684784
16,Hepg2.Quies,0.00105056766814
17,PANC.ISLT.TssFlnkU,0.00103809974236
18,E007.H2BK5ac.gappedPeak,0.00102803623128
19,E058.H3K4me1.gappedPeak,0.0010193022981
20,PANC.ISLT.TssFlnkD,0.00101791971946
21,GSE64233_p65_V_final.bed,0.000990547576673
22,PANC.ISLT.TssA,0.000987467323531
23,PE_FOXA1_chipseq_hg19.bed,0.00098309129216
24,GT_Active_Enhancers_hg19.bed,0.000979180438247
25,E006.H2A.Z.gappedPeak,0.000976329863654
26,Hepatocyte_PPARA_ctrl_24hr.bed,0.000973211978701
27,PE_Active_Enhancers_hg19.bed,0.000971723449644
28,HeLa.S3_ChIP.seq_EZH2_ENCFF002CDX.bed,0.000950693081154
29,SK.N.SH_ChIP.seq_RXRA_ENCSR000BVG_ENCFF001UQB_ENCFF001UQC_intersect.bed,0.000941867810288
30,E034.H3K27me3.gappedPeak,0.00093802361157
31,wgEncodeAwgDnaseUwHconfUniPk.narrowPeak,0.000929014874958
32,E006.H3K23ac.gappedPeak,0.000928872152619
33,FG_Active_Enhancers_hg19.bed,0.000925656863273
34,pancreas_adult_H3K27ac.bed,0.000923545655445
35,E055.H3K4me1.gappedPeak,0.000916308633572
36,A549_ChIP.seq_FOXA1_ENCFF002CFO.bed,0.000910764377579
37,E005.H2AK5ac.gappedPeak,0.000907293121187
38,E015.H3K4me1.gappedPeak,0.000903527104461
39,E127.H3K4me1.gappedPeak,0.00090221598077
40,H1.hESC_ChIP.seq_BCL11A_ENCFF002CIT.bed,0.000897083679536
41,E114.H3K4me1.gappedPeak,0.000884619030066
42,common_wo_acinar_ATACseq_hg19.bed,0.000881371777227
43,E092.H3K9me3.gappedPeak,0.000880636400726
44,Ishikawa_ChIP.seq_ZBTB7A_ENCSR000BSZ_ENCFF001TVZ_ENCFF001TWA_intersect.bed,0.000880115583012
45,HEK293_ChIP.seq_TCF7L2_ENCFF002CRP.bed,0.00086897741184
46,E056.H3K4me1.gappedPeak,0.000868935484694
47,HL.60_ChIP.seq_POLR2AphosphoS5_ENCSR000BTL_ENCFF001UIP_ENCFF001UIO_intersect.bed,0.000867476231723
48,E025.H3K9ac.gappedPeak,0.000861070886347
49,B_cell_ChIP.seq_H4K20me1_ENCFF001STN.bed,0.000860760087734
50,E003.H2A.Z.gappedPeak,0.000859630314577
51,H1.hESC_ChIP.seq_H2AFZ_ENCFF001SUV.bed,0.000857497821865
52,SH.SY5Y_ChIP.seq_GATA3_ENCFF002DAA.bed,0.00085687052809
53,E087.H3K27ac.gappedPeak,0.000854304568266
54,GSM1208649_batch1_chrom1_LoVo_MEF2C_PassedQC_peaks_hg19.bed,0.000851261294381
55,E096.H3K4me1.gappedPeak,0.000838924438881
56,E004.H3K23ac.gappedPeak,0.000838865416757
57,E096.H3K9me3.gappedPeak,0.000836516753157
58,GSM1240823_GP5dControl_RAD21_peaks_hg19.bed,0.000835492884203
59,E028.H3K4me1.gappedPeak,0.000834999039281
60,MUS.SKLT.F.ZNFRpts,0.000827912048387
61,E023.H3K4me1.gappedPeak,0.000823469593556
62,E003.H4K8ac.gappedPeak,0.000818238099937
63,E005.H3K23ac.gappedPeak,0.000816898048915
64,MCF.7_ChIP.seq_GATA3_ENCFF002CZK.bed,0.000816071245327
65,E007.H4K8ac.gappedPeak,0.000815141429506
66,E093.H3K9me3.gappedPeak,0.000814779351838
67,E001.H3K4me1.gappedPeak,0.000814708547975
68,H1.hESC_ChIP.seq_PHF8_ENCFF001SVL.bed,0.000814166933908
69,GSM1208632_batch1_chrom1_LoVo_HNF4A_PassedQC_peaks_hg19.bed,0.000810885964025
70,GSM1208681_batch1_chrom1_LoVo_SOX4_PassedQC_peaks_hg19.bed,0.000810015075769
71,E024.H3K4me1.gappedPeak,0.000803567980661
72,E003.H3K18ac.gappedPeak,0.000797297945405
73,E067.H3K27ac.gappedPeak,0.000796148283139
74,PancIslt.EnhA,0.00079583746404
75,E105.H3K4me1.gappedPeak,0.000795264562113
76,E089.H3K4me1.gappedPeak,0.000794678601149
77,E068.H3K9ac.gappedPeak,0.000789229706057
78,E073.H3K27ac.gappedPeak,0.000787535938139
79,Adipocyte_EBF1_hg19.bed,0.000784280151238
80,E125.H3K4me1.gappedPeak,0.000782894588083
81,HeLa.S3_ChIP.seq_SUPT20H_ENCFF002CTF.bed,0.000782423446208
82,islet_of_Langerhans_FAIRE.seq_ENCFF001UZF.bed,0.000781526637171
83,HepG2_ChIP.seq_RXRA_ENCFF002CKZ.bed,0.000779401072096
84,PANC.ISLT.TssFlnk,0.000778740261614
85,HepG2_ChIP.seq_SP1_ENCFF002CLB.bed,0.000774811073636
86,GSM1240826_GP5dControl_SMC3_peaks_hg19.bed,0.000774726888261
87,E002.H3K9me3.gappedPeak,0.000772340145901
88,SK.N.SH_ChIP.seq_EP300_ENCFF002CNP.bed,0.000769014178218
89,E037.H3K27me3.gappedPeak,0.000764124083533
90,PANC.ISLT.Quies,0.000763498216925
91,E009.H2A.Z.gappedPeak,0.000763109802238
92,GSE25836_Human_SGBS_Ads_PPARg_GLITR_1p5_FDR_hg19.bed,0.000762346349776
93,GT_Poised_Enhancers_hg19.bed,0.000761524778169
94,E011.H3K9ac.gappedPeak,0.000761133144423
95,FAT.ADIP.NUC.EnhA,0.00076088356009
96,E007.H3K9ac.gappedPeak,0.000755160182174
97,E114.H2A.Z.gappedPeak,0.000755093132813
98,GT_FOXA1_chipseq_hg19.bed,0.000754144744598
99,E102.H3K27ac.gappedPeak,0.00075363391957
100,E007.H3K4me1.gappedPeak,0.000753339790001
101,MCF.7_ChIP.seq_H3K27me3_ENCFF001VCV.bed,0.000752152116267
102,E008.H4K8ac.gappedPeak,0.000748555355369
103,GSM1208700_batch1_chrom1_LoVo_ZBED4_PassedQC_peaks_hg19.bed,0.000747335448315
104,E098.H3K9me3.gappedPeak,0.000747293296681
105,A549_ChIP.seq_NR3C1_ENCFF002CFS.bed,0.000746963911285
106,E022.H3K36me3.gappedPeak,0.000744326777255
107,H1.hESC_ChIP.seq_H3K9ac_ENCFF001SVE.bed,0.000743739987689
108,HepG2_ChIP.seq_ZBTB7A_ENCFF002CLK.bed,0.000742430597071
109,E070.H3K27me3.gappedPeak,0.000741752310332
110,E008.H3K14ac.gappedPeak,0.000740780805518
111,HepG2_ChIP.seq_FOXA1_ENCFF002CKJ.bed,0.000735316826183
112,E063.H3K4me1.gappedPeak,0.000732699834927
113,NKX6.1,0.000728432208626
114,E080.H3K4me1.gappedPeak,0.000727618232173
115,E036.H3K9me3.gappedPeak,0.000720490569538
116,E115.H3K27me3.gappedPeak,0.00071885105978
117,E102.H3K4me1.gappedPeak,0.000718179530327
118,E055.H3K27ac.gappedPeak,0.000717107471625
119,E057.H3K4me1.gappedPeak,0.000716986714333
120,DE_Active_Enhancers_hg19.bed,0.000716195201627
121,FAT.ADIP.NUC.Quies,0.000716051711416
